Topónimo,Otros_nombres,Denominación_actual,Tipo,Jurisdicción,Lat,Lon,Categoría
Santa Fe,,,Ciudad,,4.598225,-74.075767,Ciudad
Ambalema,,,,,4.781667,-74.763889,Galán
Zipaquirá,,,Pueblo,,5.024722,-74.001389,Galán
Nemocón,,,,,5.066562,-73.877127,Berbeo
Guaduas,,,,,5.069444,-74.598056,Galán
Mariquita,,,,,5.198333,-74.893611,Galán
Honda,,,Villa,,5.206944,-74.736667,Ciudad
Ubaté,,,Pueblo,Turmequé,5.307222,-73.814444,Berbeo
Tunja,,,,,5.532583,-73.361597,Ciudad
Chiquinquirá,,,,,5.6175,-73.816389,Berbeo
Villa de Leyva,,,,,5.633056,-73.525556,Berbeo
Puente Real,,Puente Nacional,,Tunja,5.876635,-73.680285,Berbeo
Güepsa,,,,,6.024444,-73.5725,Berbeo
Oiba,,,,,6.263889,-73.299167,Berbeo
Charalá,,,Parroquia,,6.2875,-73.146667,Berbeo
Socorro,,,Villa,,6.470248,-73.261534,Berbeo
San Gil,,,Villa,,6.554867,-73.133474,Berbeo
Pie de Cuesta,Piedecuesta,Piedecuesta,Sitio,Girón,6.985882,-73.050209,Berbeo
Facatativá,,,,,4.815191,-74.355391,Galán
Zapatoca,,,,,6.816666,-73.268675,Berbeo
Barichara,,,,,6.635732,-73.2235,Berbeo
Mogotes,,,,,6.476926,-72.970708,Galán
Mortiño,,,,,5.050643,-73.942294,Berbeo
Girón,,,,,7.067777,-73.169372,Ciudad
Onzaga,,,,,6.344675,-72.817231,Galán
Sogamoso,,,,,5.714688,-72.927706,Berbeo
Simacota,,,,,6.443118,-73.338083,Berbeo
Pinchote,,,,,6.533095,-73.173280,Berbeo
Cajicá,,,,,4.917169,-74.025532,Berbeo