Nombre,Tipo,Y,X,
Honda,Villa,5.206944,-74.736667,
La Mesa,Parroquia,4.632237,-74.463026,
Santa Fe,Ciudad,4.598225,-74.075767,
Zipaquirá,Pueblo,5.024722,-74.001389,
Simacota,Parroquia,6.443056,-73.3375,
Socorro,Villa,6.470248,-73.261534,
Charalá,Parroquia,6.2875,-73.146667,
Monguí,Parroquia,5.722282,-72.849533,
Santiago de las Atalayas,Ciudad,5.119057,-72.587565,
Real Corona,Poblado,7.638889,-65.9639,
Ciudad Real,Poblado,7.86847,-65.660502,
La Asunción,Ciudad,11.029764,-63.867135,
Buga,Villa,3.899631,-76.301996,
Popayán,Ciudad,2.441882,-76.60632,
Anserma,Ciudad,5.235947,-75.785140
Guambía,Pueblo,2.616090,-76.299663
Toboima,Pueblo,2.636887,-75.993767